Abattoir Name,RC Nr,Province,Status,ZA Nr,Expiry Date of ZA,Transformation/ Government,Price Information,SETA,Tel. 1,Tel. 2,FAX,VAT Number,Distance from Headoffice,Postal Address,City,Postal Code,Municipality,Physical Address, GPS Coordinates (DMS), GPS Coordinates (DMS) 2,Owner,Owner email,Owner Cell,Manager,Manager email,Manager Cell,Training,Training email,Training Cell,Accounts,Account email,Accounts Cell,Emails,Meat Inspection Services (Assignee Name),Assignee Contact Name,Assignee Contact Number,Meat Inspectors,Meat Examiner,QA Manager/s or HMS Contact,Floor Supervisor,Technical Manager,Contact Number,Email,Quality Control & Hygiene Manager,Cell Number,Email Control & Hygiene Manager,L/H,G,Units,Amount Slaughtered,CATTLE,CALVES,SHEEP,PIG,GOAT,GAME,CROCODILES,HORSES,Kosher,Halaal,Classification (C/NC),Grader,Deboning Plant,Processing Plant,Rendering Plant,Residue,2018 Member,2019 Member,2020 Members,2021 Members,2022 Members,2023 Members,2024 Members,2025 Members,2026 Members,Other Comments,Modified By,Modified,Modified Fields,Old Values,New Values,Can Mail Be sent to Client?,Date Mail Sent,Verification,DB UPDATED,Latest Update Received,Data Base Comment 
A.J. & C.D. Du Plessis Abattoir,07/071,Western Cape,Closed,,,,,,028 251 85567,,,,1175.8,P O Box 81 ,,,,,,,A du Plessis & CD Plessis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Pending Review,,,
Aalwynhoek Abattoir,06/067,Eastern Cape,Active,,,?,,,041 961 0029,,086 575 3563,4590146587,1103.2,P O Box 442,Uitenhage,"6,056",,"Aalwynhoek,  
Amanzi, 
Uitenhage",,,Hein Stumke,aalwyn@agnet.co.za,072 701 9270,Darius Stumke,,079 932 6279,,,,,,,,,,,,,,,,,,,,,HT,B,50,,x,,x,x,,,,,No,No,C,,,,,,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.12.15,SL updated classifying with SAMIC info
Aandrus Abattoir,06/036,Eastern Cape,Closed,,,?,,,045 933 1593,,,,890.8,P O Box 60,Ugie,"5,470",,,,,CR Myburgh,,072 234 6643,,,,,,,,,,,,,,,,,,,,,,,,RT,R,2,,,,,x,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Aardvark,02/280R,Limpopo,Active,,,?,,,,,,,327.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,x,,x,,,,,,No,No,NC,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,2025.12.15,"SL updaded non classifying from info from SAMIC, added sheep species"
Aberdeen Abattoir,04/085,Free State,Closed,,,,,AgriSETA,058 831 2263,058 831 3905,,,367.9,P O Box 246,,,,,,,JJ Muller,,073 161 4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Adams,05/008G,KZN,Closed,,,?,,,,,,,424.9,,,,,Colenso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,,,,,,x,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Adelaide Abattoir,06/002,Eastern Cape,Active,,,?,,,,,046 684 0604,,961.7,Private Bag X350,Adelaide,"5,760",Nxuba,"No 2 Bon Accord Street, 
Adelaide, 
5760",,,BHE Lindhorst & KT Schriberg,,082 821 3216,W Morgan,malmar@intakom.co.za,828213216,,,,,,,,,,,,,,,,,,,,,LT,E,10,,x,,x,x,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Agtmyl Abattoir,09/018,Northern Cape,Closed,,,?,,,,,053 833 3722,,546.4,98 Long Street,Kimberley,"8,301",,,,,PJ Steyn,,072 456 5644,Riaan R Steyn,riaan@gmail.com,072 456 5644,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,x,x,,,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Al Shukran,05/017,KZN,Closed,,,?,,,036 354 1821,,036 354 1821,,453.5,P O Box 62,Weenen,"3,325",,Weenen,,,Mr. A. Ismail,femiismail14@gmail.com,083 631 3812,,,,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,,,,,,,,No,Yes,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,2018.06.27,Database received from Talita
ALB Abattoir ,09/030,Northern Cape,Closed,,,?,,,072 759 6648 (Johan),,053 643 0020,,752.7,P O Box 10,Hanover,"7,005",,,,,Talita,alb@xsinet.co.za,082 567 9211,,,,,,,,,,,,,,,,,,,,,,,,LT,E,8,,x,x,,x,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Albertinia Halaal Abattoir.,07/001,Western Cape,Closed,,,,,,084 665 7105,,,,1312.3,35 Nywerheids Avenue,,,Hassequa,35 Nyweheids Avenue Albertina,,,Moegamad Alaodien MA Salie,ama.halaal@wispernet.co.za,084 665 7105,J Davis,,,J Davis,,,,,,,,,,,,,,,,,,,,LT,,,,x,,x,,,,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,2023.03.30,Mr Moegamad said the abattoir was closed last year June 2022
Aliwal Abattoir,06/005,Eastern Cape,Active,,,?,,,051 633 2842,,051 633 2972,4250107739,662.4,P O Box 261,Aliwal North,"9,750",,81 Robinson Road; Aliwal North; 9750,,,Johan Geldenhuys,jmvleismark2lantic.net,082 818 8713,willemd68@gmail.com,,,,,,,,,,,,,,,,,,,,,,,LT,C,20,,x,,x,x,,,,,No,No,C,,,,,,No,,,,,,,,,,,,,,,No,24-Feb-26,Pending Review,,2025.12.15,SL updated classifying with SAMIC info
Al-Mazbah Abattoir (Halaal Fresh Meats),05/003,KZN,Active,,No,?,,,033 940 5238,,,4370260491,562.7,P O Box 1,Thornville,"3,760",Thornville,"Al- Mazbah Farms Umlaas Road, Thornville 3760",,,Junaid Malani,junaid@halaalfreshmeats.co.za,083 786 3945,Mayen Govender,mayen@halaalfreshmeats.co.za,071 132 9379,Mayen Govender,mayen@halaalfreshmeats.co.za,071 132 9379,Ayesha Ismael,ayesha@halaalfreshmeats.co.za,083 786 3936,mayengovender5@gmail.com; mayen@halaalfreshmeats.co.za; yorick@halaalfreshmeats.co.za; m.shuaib@halaalfreshmeats.co.za,,,,,,,,,,,,,,LT,D,25,,x,,x,,,,,,No,Yes,C,,,,,,Members,Members,Members ,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.02.03<br>2025.12.15,"Trainer&#39;s email address and contact number updated as well as accountant&#39;s contact
SL updated classifying with SAMIC info"
Aloe Meats Game Abattoir,06/093,Eastern Cape,Active,,,?,,,,,,,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT,,,,,,,,,,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Aloes Game,05/003G,KZN,Active,,,?,,,,,,,424.9,,,,,Colenso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,,,,,,,,,x,,,No,No,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Altess Abattoir,04/095,Free State,Closed,,,,,,014 656 1170,,,,367.9,P O Box 340,,,,,,,LN Pilane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Altona Abattoir,05/018,KZN,Active,,,?,,,034 995 0062,072 509 9666,086 540 3375,4610103386,407.3,P O Box 292,Paulpietersburg,"3,180",,"Altona Farm, Luneberg, 3180",,,Altona Abattoir (Lunenburg) Johan Schutte,butchery@luneburg.co.za,083 676 0500,Willie osthuizen,,072 509 9666,,,,,,,,,,,,,,,,,,,,,LT,E,5,,x,,x,x,,,,,No,No,C,,,,,x,No,Members,Members,Members ,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.12.15,"2022/05/27, add tel nr, manager name &amp; cell nr, manager name &amp; cell nr
SL updated classifying with SAMIC info"
Amadeus Abattoir prev Klipscheur Abattoir (Kestell),04/088,Free State,Closed,,,?,,,058 1100 110,,054 461 2783,,315.7,Postnet Suite 141,Bethlehem,"9,700",,Farm Klipscheur Betlehem 9700,,,Pieter Enslin Van Blerk,enslin@amadeusvoerkraal.co.za,082 920 5997,,,,,,,,,,admin@klipscheur.co.za; oa@fiberprint.co.za,,,,,,,,,,,,,,LT,D,20,,x,x,x,,,,,,No,No,,,,,,,No,,Members ,,,,,,,,,,,,,No,,Pending Review,,,
Amatola Abattoir,06/058,Eastern Cape,Closed,,,,,,043 683 3137,,,,959.1,P O Box 783 ,,,,,,,JW Wattrus,,083 281 0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Ambleside Meats cc t/a Dalton Abattoir,05/072,KZN,Active,,,?,,,033 501 1867,,,4010205310,563.8,P O  Box 286,Darlton,"3,340",Mshwati,12 Jacaranda Road Dalton,,,Lance Luffingham,lanceluffingham@amblesidefarm.co.za,036 488 1200,Brad Kitson,daltonmanager@amblesidefarm.co.za,036 488 1200,Mandla Ntsele,mandla@amblesidefarm.co.za,073 306 2646,Christell Priest,christel@amblesidefarm.co.za,036 488 1200,,,,,,,,,,,,Nakayla Reddy,084 794 2985,nikki@amblesidefarm.co.za,HT,A,140,,,,,x,,,,,No,No ,C,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2024.07.24<br>2025.12.15,"Units &amp; species updated, Manager&#39;s details, trainer &amp; Accountants details updated
SL updated classifying with SAMIC info
"
Ambleside Meats Winterton,05/070,KZN,Active,ZA 380,7/9/2018,?,Yes,,036 488 1200,033 501 1867,036 488 1997,4010205310,429.1,P O Box 286,Winterton,"3,340",Uthukela,"Lot 50 Springfield Road, Winterton 3340 Distance 429 km",,,Lance Luffingham,lanceluffingham@amblesidefarm.co.za,082 614 5623,Steven Pradeepkumar,steven@amblesidefarm.co.za,072 246 2879,Computer Sifiso Xaba,qualitycontrol@amblesidefarm.co.za,087 951 7407,Michelle Martin,michelle@amblesidefarm.co.za,083 955 1701,,,,,,,,,,,,,,,HT,A,240,,,,,x,,,,,No,No,C,,,,,x,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.12.15,SL updated classifying with SAMIC info
Andrews Abattoir (Propatrade 44),06/075,Eastern Cape,Active,,,?,,Foodbev,045 931 1890,,045 931 2947,4020153054,839.8,P O Box 638,Elliot,"5,460",,"Ecawa Farm, 
Elliot, 
5460",,,Murray Andrews,andrewsabattoir@snowvalley.co.za,082 659 8830,Mr E Webber,,072 454 5370,,,,Ilana McGregor/ Rachelle Weber,ilana@andrewsabattoir.co.za; rachelle@andrewsabattoir.co.za,072 185 6517,claremontfinance@weblink.co.za,,,,,,,,,,,,,,HT,,80,,x,,x,,,,,,No,Yes,C,,,,,,Members,,,,,,,Members,,,,,,,,No,,Pending Review,,2025.12.15,SL updated classifying with SAMIC info
Anton's Abattoir,06/065,Eastern Cape,Active,,,?,,,041 933 5746,,086 210 5136,4670111295,1111.7,P O Box 61,Despatch,"6,219",,"60 Eland Street 
Perserverance 
Despatch",,,Anton Greeff,antongreeffsnr@gmail.com,082 659 2573,,anton@antongreeff.co.za,,,,,Adele du Plessis ,,,,,,,,,,,,,,,,,LT,D,20,,x,,x,,,,,,No,Yes,C,,,,,,Members,Members,Members ,,,,,,,,,,,,,No,,Pending Review,,2025.12.15,SL updated classifying with SAMIC info
Ashton Abattoir,07/003,Western Cape,Closed,,,,,,,,,,1383.3,P O Box 80,,,,,,,Hendrik HI Heunis & Steenkamp,,082 376 8746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Austin & Evans Abattoir (Pty) Ltd Somerset,06/053,Eastern Cape,Active,,,?,,AgriSETA,060 638 3867,060 638 3867,042 243 1356,4660162282,961.1,P O Box 397,Somerset East,"5,850",,"1 Charles Street, Industrial, Somerset East",,,Hayden Evans,,082 555 8300,F Greyling,francois@somerseteast.co.za,084 583 5592,,zelda@austinevans.co.za,,Jolene Jansen & Allanna Marriot,paulk@austinevans.co.za,076 278 6291/083 671 4425,allanna@austinevans.co.za; health@austinevans.co.za; jolene@austinevans.co.za,,,,,,,,,,,,,,LT,E,6,,x,,x,,,,,,No,No,C,,,,,,Members,Members,Members,Members,Members,Members,Members,Members,,,,,,,,No,,Pending Review,,2025.12.15,SL updated classifying and sheep with SAMIC info
B & B Stormberg Abattoir / update details,06/010,Eastern Cape,Active,,,?,,,045 971 0292,,,,717.9,P O Box 211,Burgersdorp,"9,744",,,,,BD Botha & B Marx,,,,,,,it@stormbergsnacks.co.za,,,gary@stormbergsnacks.co.za,,,,,,,,,,,,,,,,LT,D,50,,x,x,x,,x,,,,No,No ,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
Babanango Abattoir,05/016,KZN,Closed,,,,,,035 835 0030,,,,524.7,P O Box 25,,,,,,,DFJ Brooks,,083 653 5562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,,Pending Review,,,
